step,spool,diameter,speed,motorV,extfrq,target,temp
0,0.0,33.1,74.96,9.3,5.01,44.1,79.899
1,0.01,31.5,75.28,10.04,4.48,44.1,79.968
2,0.02,32.0,71.68,9.02,5.54,44.1,79.899
3,0.03,33.7,59.28,11.25,7.47,44.1,80.071
4,0.04,33.5,50.4,13.08,6.85,44.1,80.105
5,0.05,33.9,45.36,14.29,7.32,44.1,79.933
6,0.06,33.9,44.0,14.9,5.99,44.1,79.968
7,0.07,35.4,44.8,17.92,6.43,44.1,80.002
8,0.08,35.2,46.4,18.7,5.86,44.1,79.968
9,0.09,34.6,48.16,18.74,5.93,44.1,80.002
10,0.1,35.0,51.84,19.12,7.3,46.9,80.002
11,0.11,36.8,54.24,20.26,7.2,46.9,80.105
12,0.12,38.4,55.6,20.11,6.55,46.9,80.036
13,0.13,39.3,56.56,21.17,9.19,46.9,79.968
14,0.14,40.9,57.12,19.34,9.06,46.9,80.17399999999999
15,0.15,42.5,58.16,20.37,9.51,46.9,80.036
16,0.17,42.8,58.88,20.86,6.97,46.9,79.899
17,0.18,42.9,58.48,21.04,7.45,46.9,80.105
18,0.19,43.8,58.88,20.36,9.0,46.9,79.968
19,0.2,43.0,59.12,18.45,10.69,46.9,80.139
20,0.21,41.4,59.44,14.99,9.89,46.9,80.139
21,0.22,39.9,59.04,13.08,10.02,46.9,79.968
22,0.23,39.9,56.64,15.56,11.61,46.9,80.036
23,0.24,39.7,52.64,15.38,11.45,46.9,80.036
24,0.26,41.2,49.92,15.91,13.48,46.9,79.968
25,0.27,40.7,50.24,15.92,15.18,46.9,80.036
26,0.28,41.2,50.72,15.24,14.22,46.9,80.105
27,0.3,41.2,50.96,13.66,12.59,46.9,80.036
28,0.31,41.4,50.88,12.37,10.3,46.9,80.139
29,0.32,39.7,49.44,11.45,8.52,46.9,80.002
30,0.33,38.4,48.16,10.47,6.03,46.9,79.83
31,0.34,37.4,46.24,10.09,6.93,46.9,79.968
32,0.35,38.1,44.16,9.81,6.4,46.9,79.968
33,0.36,39.3,41.92,8.96,6.13,46.9,79.968
34,0.37,42.3,40.16,9.64,4.67,46.9,79.968
35,0.38,43.4,38.56,10.16,4.96,46.9,79.933
36,0.39,42.7,37.76,11.52,5.98,46.9,79.899
37,0.4,41.5,37.76,9.61,4.05,46.9,80.002
38,0.41,42.6,38.72,8.75,2.46,46.9,79.86399999999999
39,0.42,40.3,39.68,9.52,1.72,46.9,79.933
40,0.43,35.8,38.64,11.59,1.11,46.9,79.968
41,0.44,36.4,37.04,13.19,3.77,46.9,80.002
42,0.44,35.9,37.04,12.61,3.18,46.9,80.071
43,0.45,34.8,40.0,11.52,1.18,46.9,79.968
44,0.46,35.3,42.88,9.85,0.0,46.9,79.968
45,0.47,35.9,43.36,11.53,0.0,46.9,79.968
46,0.48,37.9,42.32,11.22,0.0,46.9,79.933
47,0.48,39.9,41.04,10.27,0.0,46.9,80.002
