step,spool,diameter,speed,motorV,extfrq,target,temp
0,0.0,32.3,76.0,25.25,19.16,50.6,80.105
1,0.02,31.4,75.76,26.08,20.01,50.6,79.968
2,0.03,32.9,71.92,28.07,21.86,50.6,80.036
3,0.05,35.1,58.96,31.17,24.79,50.6,80.139
4,0.06,35.2,49.04,35.25,28.85,50.6,80.036
5,0.08,34.1,42.96,39.94,33.75,50.6,80.105
6,0.1,30.6,39.44,45.08,39.31,50.6,80.105
7,0.13,31.7,39.68,50.8,45.01,50.6,80.002
8,0.15,31.4,42.08,55.97,50.86,50.6,80.139
9,0.18,32.7,45.76,60.94,56.7,50.6,80.139
10,0.21,30.9,50.08,65.46,62.51,50.6,80.17399999999999
11,0.24,32.9,54.24,69.62,67.66,50.6,80.105
12,0.27,35.3,57.6,72.97,72.61,50.6,80.071
13,0.31,36.7,62.24,75.6,76.58,50.6,80.17399999999999
14,0.35,38.7,66.8,77.51,79.95,50.6,80.17399999999999
15,0.38,39.5,70.48,78.87,82.94,50.6,80.346
16,0.42,40.4,72.88,79.72,85.85,50.6,80.17399999999999
17,0.46,38.0,75.52,79.91,88.08,50.6,80.139
18,0.51,35.4,77.6,79.25,90.07,50.6,80.139
19,0.55,32.4,78.48,78.7,91.47,50.6,80.139
20,0.59,34.7,78.88,77.73,92.1,50.6,80.208
21,0.63,30.9,79.12,76.51,92.03,50.6,80.208
22,0.68,28.8,78.56,75.22,91.1,50.6,80.208
23,0.72,28.0,77.12,73.76,89.74,50.6,80.415
24,0.76,28.7,76.24,72.75,88.53,50.6,80.139
25,0.8,30.0,75.12,72.1,86.52,50.6,80.277
26,0.85,30.2,73.6,71.81,84.71,50.6,80.415
27,0.89,29.3,72.64,71.72,83.09,50.6,80.277
28,0.93,29.8,72.24,72.37,81.56,50.6,80.139
29,0.96,29.2,71.52,72.9,79.17,50.6,80.243
30,1.0,27.4,70.72,73.06,76.95,50.6,80.17399999999999
31,1.04,27.9,71.12,73.67,75.42,50.6,80.243
32,1.08,28.3,72.0,74.05,74.16,50.6,80.243
33,1.11,29.3,72.16,74.35,73.07,50.6,80.277
34,1.15,30.4,72.16,74.78,72.25,50.6,80.105
35,1.18,29.9,72.96,75.04,71.92,50.6,80.243
36,1.22,28.3,73.44,75.41,71.74,50.6,80.277
37,1.25,30.4,73.6,75.63,71.28,50.6,80.208
38,1.29,33.9,73.68,76.3,70.97,50.6,80.208
39,1.32,33.0,74.4,76.26,70.74,50.6,80.036
40,1.36,31.5,74.8,76.43,70.7,50.6,80.208
41,1.39,30.6,75.04,76.24,70.64,50.6,80.277
42,1.43,33.2,75.6,75.85,71.3,50.6,80.208
43,1.46,35.6,75.76,75.7,71.58,50.6,80.139
44,1.5,36.6,75.52,75.95,72.0,50.6,80.17399999999999
45,1.54,37.7,74.88,76.42,73.06,50.6,80.243
46,1.57,39.9,75.12,77.08,74.45,50.6,80.139
47,1.61,40.1,75.36,80.05,75.48,50.6,80.243
48,1.64,42.0,75.6,79.22,73.76,50.6,80.17399999999999
49,1.68,42.3,76.72,80.81,74.13,50.6,80.311
50,1.72,43.4,78.32,83.19,75.34,50.6,80.208
51,1.75,44.6,78.96,83.5,76.86,50.6,80.277
52,1.79,45.2,79.92,83.47,77.74,50.6,80.17399999999999
53,1.83,43.0,82.0,83.64,77.93,50.6,80.139
54,1.87,48.1,83.04,84.04,77.1,50.6,80.105
55,1.9,48.0,83.36,85.09,75.82,50.6,80.243
56,1.94,48.7,83.36,85.93,74.78,50.6,80.17399999999999
57,1.98,49.2,83.36,86.92,73.55,50.6,80.311
58,2.01,49.1,84.08,86.82,72.57,50.6,80.139
59,2.05,51.7,85.44,86.69,71.77,50.6,80.105
60,2.08,54.3,86.56,86.81,71.81,50.6,80.208
61,2.12,51.8,86.64,87.3,72.48,50.6,80.208
62,2.15,51.8,86.48,87.62,72.53,50.6,80.105
63,2.19,51.2,86.96,88.03,73.05,50.6,80.17399999999999
64,2.23,50.2,87.28,88.29,73.9,50.6,80.002
65,2.26,49.8,87.44,88.64,74.51,50.6,80.139
66,2.3,49.3,88.24,88.86,75.15,50.6,80.071
67,2.33,48.4,88.4,88.61,75.48,50.6,80.071
68,2.37,48.3,88.4,88.47,75.4,50.6,80.071
69,2.41,48.0,88.8,88.22,75.35,50.6,80.071
70,2.44,47.8,88.64,87.35,75.12,50.6,80.071
71,2.48,46.5,88.32,86.56,75.14,50.6,80.002
72,2.52,51.9,88.4,86.09,75.1,50.6,80.036
73,2.55,46.2,87.52,86.18,75.27,50.6,80.139
74,2.59,46.3,86.56,86.95,75.41,50.6,80.002
75,2.63,49.1,86.56,86.94,75.46,50.6,79.933
76,2.66,47.5,86.4,87.18,75.22,50.6,79.933
77,2.7,46.1,86.56,87.36,75.42,50.6,79.86399999999999
78,2.74,47.6,87.12,87.22,75.58,50.6,79.86399999999999
79,2.77,46.8,87.36,87.37,75.81,50.6,79.899
80,2.81,44.8,87.04,86.97,76.25,50.6,79.899
81,2.85,46.2,87.44,86.5,76.7,50.6,79.933
82,2.89,44.8,87.44,86.07,76.99,50.6,79.86399999999999
83,2.92,47.4,86.88,85.89,77.11,50.6,79.83
84,2.96,47.6,86.88,85.42,77.24,50.6,79.83
85,3.0,48.9,86.24,85.19,77.54,50.6,79.76100000000001
86,3.03,47.1,85.44,84.95,77.76,50.6,79.796
87,3.07,47.3,85.6,85.25,77.42,50.6,79.692
88,3.11,47.3,85.44,85.88,77.38,50.6,79.727
89,3.15,49.2,85.12,86.25,77.78,50.6,79.727
90,3.18,51.7,85.52,86.22,78.05,50.6,79.692
91,3.22,52.3,85.92,86.25,78.18,50.6,79.86399999999999
92,3.26,54.2,85.92,86.46,78.59,46.3,79.796
93,3.3,52.0,86.16,87.02,78.69,46.3,79.589
94,3.34,54.8,86.4,86.77,78.55,46.3,79.658
95,3.37,56.8,86.56,86.96,78.87,46.3,79.727
96,3.41,57.4,86.8,87.22,79.06,46.3,79.555
97,3.45,55.6,86.88,86.87,79.12,46.3,79.589
98,3.49,54.2,86.96,87.3,79.0,46.3,79.658
