step,spool,diameter,speed,motorV,extfrq,target,temp
0,0.0,29.2,76.48,7.88,3.77,30.9,79.86399999999999
1,0.01,28.4,76.32,9.39,4.84,30.9,79.899
2,0.02,28.0,72.64,9.44,5.68,30.9,79.86399999999999
3,0.03,27.9,60.96,9.22,5.64,30.9,79.933
4,0.04,29.8,52.48,9.93,5.57,30.9,80.002
5,0.05,30.5,46.88,11.34,4.43,30.9,79.933
6,0.06,29.1,42.72,13.88,3.7,30.9,79.933
7,0.07,33.8,41.68,14.9,2.86,30.9,79.76100000000001
8,0.08,33.6,42.24,16.65,2.48,30.9,79.86399999999999
9,0.08,34.1,45.2,18.25,1.37,30.9,79.968
10,0.09,33.0,48.08,20.35,2.2,30.9,79.899
11,0.1,32.4,51.36,22.36,2.82,30.9,79.968
12,0.11,36.8,54.16,22.4,4.66,30.9,80.002
13,0.12,39.2,57.76,21.65,5.95,30.9,79.899
14,0.13,41.4,60.64,21.7,5.53,30.9,79.968
15,0.14,42.3,62.0,20.48,5.92,30.9,80.002
16,0.15,43.0,62.4,21.67,6.95,30.9,80.071
17,0.16,42.3,62.08,21.93,7.78,30.9,79.83
18,0.17,41.1,61.76,20.88,7.22,30.9,79.933
19,0.18,42.2,62.16,20.45,7.21,30.9,79.933
20,0.19,42.9,62.56,19.28,6.78,30.9,79.899
21,0.2,43.0,61.44,17.33,6.19,30.9,80.105
22,0.21,42.5,60.88,16.31,6.14,30.9,79.933
23,0.22,43.0,59.6,16.28,5.77,30.9,79.933
24,0.23,40.2,57.44,14.67,5.95,30.9,79.899
25,0.24,36.9,55.28,13.63,5.38,30.9,79.899
26,0.25,35.8,53.44,13.04,5.16,30.9,79.899
27,0.26,34.8,51.68,12.95,3.87,30.9,79.968
28,0.27,36.5,50.0,13.71,2.75,30.9,79.933
29,0.28,39.0,48.4,14.7,4.24,30.9,79.83
30,0.29,40.6,47.68,13.82,4.06,30.9,79.968
31,0.3,41.5,47.44,14.43,4.01,30.9,80.105
32,0.31,42.3,48.48,15.15,4.2,30.9,80.002
33,0.32,40.4,48.8,15.43,4.46,30.9,80.105
34,0.33,41.6,49.44,15.97,4.88,30.9,79.968
