step,spool,diameter,speed,motorV,extfrq,target,temp
0,0.0,30.2,74.56,21.16,16.38,41.9,79.555
1,0.01,31.4,74.32,22.66,16.87,41.9,79.521
2,0.03,30.0,70.32,24.88,18.31,41.9,79.555
3,0.04,33.7,55.6,28.57,20.51,41.9,79.624
4,0.06,33.0,44.24,33.48,23.51,41.9,79.521
5,0.08,30.2,36.96,39.34,27.51,41.9,79.589
6,0.09,30.1,34.32,45.75,32.0,41.9,79.589
7,0.11,30.9,35.84,52.76,37.05,41.9,79.624
8,0.14,32.4,39.6,59.35,42.53,41.9,79.796
9,0.16,32.5,44.8,65.34,48.41,41.9,79.624
10,0.19,30.8,49.92,70.26,54.27,41.9,79.521
11,0.21,33.6,54.88,75.02,60.31,41.9,79.692
12,0.25,35.7,59.44,78.58,66.05,41.9,79.624
13,0.28,39.2,64.96,81.45,70.88,41.9,79.589
14,0.31,43.4,70.16,83.26,75.45,41.9,79.624
15,0.35,46.1,74.64,84.5,79.82,41.9,79.692
16,0.39,44.5,78.0,85.07,82.81,41.9,79.589
17,0.43,41.2,80.8,85.07,85.02,41.9,79.692
18,0.47,38.7,82.48,84.45,87.12,41.9,79.658
19,0.51,37.2,83.44,83.54,88.54,41.9,79.76100000000001
20,0.55,35.6,83.28,82.38,88.9,41.9,79.658
21,0.59,35.7,83.2,80.72,89.15,41.9,79.76100000000001
22,0.64,34.9,82.88,79.18,89.33,41.9,79.624
23,0.68,35.3,81.2,76.91,89.22,41.9,79.83
24,0.72,36.1,79.68,74.35,88.62,41.9,79.76100000000001
25,0.76,35.5,77.36,72.25,87.19,50.3,79.692
26,0.8,34.5,74.8,70.81,85.31,50.3,79.727
27,0.84,35.5,72.8,69.48,82.83,50.3,79.589
28,0.88,36.0,70.8,68.73,80.66,50.3,79.796
29,0.92,35.0,68.56,68.31,79.29,50.3,79.83
30,0.96,35.3,67.12,68.13,77.43,50.3,79.86399999999999
31,1.0,35.7,66.72,67.61,75.62,50.3,79.589
32,1.03,36.3,66.24,67.65,74.13,50.3,79.83
33,1.07,37.1,65.28,67.93,72.58,50.3,79.83
34,1.11,38.3,64.88,68.23,71.35,50.3,79.624
35,1.14,39.3,65.12,68.24,69.86,50.3,79.796
36,1.17,41.2,65.44,68.51,69.14,50.3,79.727
37,1.21,41.6,65.28,68.26,68.62,50.3,79.899
38,1.24,42.4,65.36,68.37,68.21,50.3,79.727
39,1.28,43.6,65.92,69.44,68.34,50.3,79.796
40,1.31,46.2,65.76,70.46,67.46,50.3,79.76100000000001
41,1.34,47.4,65.52,70.55,67.86,50.3,79.727
42,1.38,48.2,65.76,70.96,68.32,50.3,79.86399999999999
43,1.41,48.8,66.96,69.82,69.65,50.3,79.796
44,1.45,50.5,67.36,68.51,71.06,50.3,79.86399999999999
45,1.48,50.2,67.36,70.37,71.86,50.3,79.727
46,1.52,51.2,66.8,73.47,73.35,50.3,79.796
47,1.55,52.3,66.88,79.91,74.93,50.3,79.83
48,1.59,53.0,67.76,76.14,73.65,50.3,79.76100000000001
49,1.63,53.6,70.56,74.44,73.11,50.3,79.727
50,1.66,53.9,74.08,75.49,72.38,50.3,79.76100000000001
51,1.7,53.7,73.76,82.39,73.32,50.3,79.83
52,1.73,53.6,72.64,87.83,75.7,50.3,79.83
53,1.77,55.5,74.08,90.55,77.23,50.3,79.796
54,1.81,55.9,79.92,92.86,77.96,50.3,79.83
55,1.84,56.7,84.96,95.01,77.2,50.3,79.692
56,1.88,54.7,88.48,97.21,76.52,50.3,79.76100000000001
57,1.92,50.5,90.96,98.18,76.09,50.3,79.727
58,1.96,48.3,93.04,98.66,75.37,50.3,79.76100000000001
59,1.99,46.7,94.4,98.71,75.12,50.3,79.727
60,2.03,45.2,95.04,98.49,75.83,50.3,79.86399999999999
61,2.07,45.4,95.36,98.99,76.86,50.3,79.76100000000001
62,2.1,46.0,95.2,99.06,78.21,50.3,79.86399999999999
63,2.14,48.2,95.36,98.6,79.14,50.3,79.968
64,2.18,48.1,95.76,98.7,80.65,50.3,79.796
65,2.22,49.0,95.44,98.67,81.9,50.3,79.727
66,2.26,49.8,95.36,98.99,83.02,50.3,79.86399999999999
67,2.3,49.7,95.44,99.29,84.0,50.3,79.76100000000001
68,2.34,49.9,95.36,98.54,83.32,50.3,79.86399999999999
69,2.38,49.1,95.76,96.81,82.18,50.3,79.796
70,2.42,49.4,95.52,95.38,80.71,50.3,79.796
71,2.46,48.9,94.72,94.22,79.34,50.3,79.796
72,2.49,48.9,93.84,93.45,78.46,50.3,79.933
73,2.53,48.1,92.88,92.61,77.58,50.3,79.86399999999999
74,2.57,48.3,92.08,91.97,77.12,50.3,79.83
75,2.61,48.0,91.68,91.16,77.27,50.3,79.83
76,2.64,48.3,90.8,90.95,77.29,50.3,79.899
77,2.68,48.4,90.16,90.8,77.29,50.3,79.727
78,2.72,48.7,89.84,90.88,77.39,50.3,79.83
79,2.76,46.4,89.36,91.37,77.35,50.3,79.76100000000001
80,2.79,48.8,89.36,91.1,77.65,50.3,79.76100000000001
81,2.83,48.1,89.76,92.28,78.1,50.3,79.83
82,2.87,52.0,89.44,93.63,78.7,50.3,79.727
83,2.91,48.6,89.76,93.97,78.78,50.3,79.899
84,2.94,49.7,90.8,93.8,79.04,50.3,79.796
85,2.98,50.3,91.28,93.68,79.05,50.3,79.76100000000001
86,3.02,49.9,91.76,93.31,78.68,50.3,79.76100000000001
87,3.06,50.3,91.84,92.57,78.9,50.3,79.76100000000001
88,3.1,49.6,91.36,91.84,78.7,50.3,79.83
89,3.13,48.1,91.2,91.32,79.33,50.3,79.796
90,3.17,49.3,90.8,90.25,79.79,50.3,79.692
91,3.21,47.8,90.0,88.68,80.07,50.3,79.86399999999999
92,3.25,48.9,89.6,87.88,81.05,50.3,79.899
93,3.29,49.9,88.64,88.01,81.96,50.3,79.796
94,3.33,50.5,87.2,88.41,83.1,50.3,79.727
95,3.37,53.5,86.72,88.41,83.43,50.3,79.86399999999999
96,3.41,53.1,86.88,87.98,83.29,50.3,79.658
97,3.45,50.0,86.96,87.29,83.28,50.3,79.76100000000001
98,3.49,46.9,86.96,86.58,83.32,50.3,79.727
99,3.53,41.7,86.56,85.97,82.9,50.3,79.727
100,3.57,45.0,85.84,85.44,82.86,50.3,79.692
101,3.61,43.7,85.28,85.34,83.06,50.3,79.727
102,3.65,47.4,84.88,85.55,83.19,50.3,79.589
103,3.68,48.6,84.32,85.21,83.17,50.3,79.727
104,3.72,47.8,84.24,84.85,83.33,50.3,79.658
105,3.76,48.0,84.32,83.75,83.51,50.3,79.727
106,3.8,49.1,83.04,82.49,83.39,50.3,79.692
107,3.84,48.7,83.12,81.63,83.38,50.3,79.658
108,3.88,47.0,83.04,80.92,83.53,50.3,79.692
109,3.92,48.7,81.6,80.78,83.73,50.3,79.658
110,3.96,49.2,80.08,80.61,84.03,50.3,79.727
111,4.0,50.2,79.36,81.67,84.11,50.3,79.555
112,4.04,50.9,79.04,82.44,84.18,50.3,79.727
113,4.08,51.0,79.12,81.94,84.25,50.3,79.727
114,4.12,50.9,79.6,80.44,83.59,50.3,79.692
115,4.16,50.6,80.4,80.19,83.38,50.3,79.727
116,4.2,51.5,80.24,79.0,82.8,50.3,79.692
117,4.24,51.4,78.8,77.59,82.46,50.3,79.727
118,4.28,51.9,78.24,76.41,82.3,50.3,79.727
119,4.32,51.6,77.44,75.68,82.3,50.3,79.727
120,4.36,51.8,75.92,75.57,82.59,50.3,79.727
121,4.4,53.0,74.72,75.73,82.73,50.3,79.796
122,4.44,50.9,74.24,75.88,82.97,50.3,79.589
123,4.48,51.3,73.76,75.79,83.05,50.3,79.727
124,4.52,51.8,73.12,76.2,83.11,50.3,79.727
125,4.56,51.0,73.36,76.67,82.97,50.3,79.692
126,4.6,52.7,73.6,77.32,83.2,50.3,79.692
127,4.64,50.9,73.44,77.33,83.03,50.3,79.624
128,4.68,49.5,73.52,77.83,82.78,50.3,79.796
129,4.72,51.8,74.48,78.18,82.8,50.3,79.658
130,4.76,53.1,75.12,78.52,82.88,50.3,79.624
131,4.8,56.2,75.04,79.25,82.63,50.3,79.692
132,4.84,56.3,75.44,80.29,82.42,50.3,79.727
133,4.88,54.4,76.24,82.33,82.68,50.3,79.658
134,4.91,55.9,77.04,84.54,82.83,50.3,79.692
135,4.95,56.1,78.0,85.84,82.69,50.3,79.83
136,4.99,52.8,80.56,86.84,82.61,50.3,79.589
137,5.03,53.4,82.88,87.78,82.57,50.3,79.692
138,5.07,51.1,83.68,88.55,83.12,50.3,79.796
139,5.11,52.4,85.2,89.5,83.45,50.3,79.76100000000001
140,5.15,53.9,86.4,90.34,84.28,50.3,79.658
141,5.19,53.5,87.04,90.85,84.65,50.3,79.658
142,5.23,54.6,88.16,91.11,84.95,50.3,79.692
143,5.27,53.9,88.8,91.6,85.33,50.3,79.589
144,5.31,51.0,88.8,92.26,85.63,50.3,79.486
145,5.35,51.9,89.36,92.25,85.64,51.8,79.589
146,5.39,52.1,89.84,91.51,85.69,51.8,79.658
147,5.44,50.7,89.92,91.95,85.71,51.8,79.692
148,5.48,52.7,90.0,91.17,86.16,51.8,79.692
149,5.52,53.9,89.68,90.8,85.74,51.8,79.692
150,5.56,56.2,89.44,90.66,85.76,51.8,79.555
151,5.6,56.6,89.04,90.05,86.15,51.8,79.796
152,5.64,56.0,88.88,89.5,86.09,51.8,79.589
153,5.68,55.9,88.56,89.4,85.33,51.8,79.692
154,5.72,54.8,88.24,89.29,85.22,51.8,79.658
155,5.76,54.3,87.84,88.88,84.78,51.8,79.692
156,5.8,54.0,87.52,88.84,84.21,51.8,79.624
157,5.84,54.7,87.52,88.48,83.8,51.8,79.658
158,5.88,54.7,87.36,87.69,83.07,51.8,79.692
159,5.92,55.1,86.96,87.66,82.87,51.8,79.727
160,5.96,55.0,86.64,87.03,82.44,51.8,79.624
161,6.0,52.9,86.16,86.86,81.82,51.8,79.727
