step,spool,diameter,speed,motorV,extfrq,target,temp
0,0.0,34.9,75.04,9.81,0.0,30.6,80.105
1,0.01,32.5,74.88,8.94,0.0,30.6,80.105
2,0.02,32.6,75.28,10.08,1.95,30.6,80.071
3,0.02,31.9,75.28,5.55,2.62,30.6,79.933
4,0.03,33.7,75.12,8.6,0.28,30.6,80.002
5,0.04,35.2,75.36,8.42,0.04,30.6,80.071
6,0.05,35.2,71.76,13.65,0.95,30.6,80.071
7,0.06,34.9,59.52,14.4,0.24,30.6,80.071
8,0.06,36.5,51.12,16.63,0.0,30.6,80.17399999999999
9,0.07,36.0,49.28,16.65,0.0,30.6,80.139
10,0.08,34.7,49.68,20.38,0.0,30.6,80.105
11,0.09,35.3,51.44,22.34,0.0,30.6,80.036
12,0.09,37.1,53.28,19.99,0.0,30.6,80.208
13,0.1,36.7,56.8,14.47,0.0,30.6,80.139
14,0.11,38.9,59.04,11.95,0.07,30.6,80.002
15,0.12,38.4,58.0,4.57,2.15,30.6,80.002
16,0.13,38.9,53.6,5.71,4.91,30.6,80.071
17,0.14,39.2,47.68,4.03,7.32,30.6,80.208
18,0.15,40.5,39.04,0.93,6.29,30.6,80.071
19,0.16,41.7,33.04,1.15,6.82,30.6,80.105
20,0.17,41.3,27.84,4.15,5.47,54.4,80.139
21,0.18,40.9,21.92,3.62,7.87,54.4,80.105
22,0.19,40.7,19.2,2.59,13.99,54.4,80.243
23,0.2,41.7,20.48,5.56,13.75,54.4,80.208
24,0.21,40.4,20.72,7.04,15.74,54.4,80.071
25,0.23,40.3,21.04,2.62,13.5,54.4,80.139
26,0.24,41.3,24.32,2.59,11.89,54.4,80.071
27,0.25,41.1,26.0,5.58,11.58,54.4,80.105
28,0.26,41.5,23.2,5.9,11.36,54.4,80.139
29,0.28,41.6,21.92,6.87,18.24,54.4,80.105
30,0.29,42.0,23.36,6.7,14.71,54.4,80.071
31,0.3,42.9,25.44,3.78,16.24,54.4,80.277
32,0.32,43.3,27.76,0.0,16.57,54.4,80.17399999999999
33,0.33,44.3,27.52,0.0,19.24,54.4,80.208
34,0.35,45.4,23.52,0.0,23.53,54.4,80.071
35,0.36,46.6,18.08,0.0,27.19,54.4,80.071
36,0.38,48.7,14.8,0.0,24.23,54.4,80.105
37,0.4,49.1,12.8,0.0,21.29,54.4,80.208
38,0.42,49.9,11.68,0.0,16.21,54.4,80.139
39,0.43,50.1,11.28,0.0,12.85,54.4,80.17399999999999
40,0.44,50.6,11.36,0.0,10.0,54.4,80.17399999999999
41,0.45,50.9,11.6,0.0,10.4,54.4,80.105
42,0.47,51.2,11.84,1.3,7.57,54.4,80.208
43,0.48,52.8,11.92,0.0,6.64,54.4,80.208
44,0.49,54.4,12.16,0.0,5.06,54.4,80.105
45,0.5,55.1,12.4,0.0,1.66,54.4,80.105
46,0.5,56.1,10.64,0.0,6.03,54.4,80.243
47,0.51,57.4,9.92,0.0,11.77,54.4,80.036
48,0.53,58.6,10.24,0.0,18.19,54.4,80.036
49,0.54,60.8,10.72,0.0,19.54,54.4,80.139
50,0.56,60.7,11.04,0.0,22.62,54.4,80.036
