expected step
exploit, step:  51664, spool: 0.00, diameter: 35.60, speed: 80.16, motorV: 23.76, extfrq: 18.73, target: 44.90, greedy_m: 23.76, greedy_e: 18.73, reward: 0.070, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51665, spool: 0.01, diameter: 36.90, speed: 80.16, motorV: 24.73, extfrq: 19.34, target: 44.90, greedy_m: 24.73, greedy_e: 19.34, reward: 0.209, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51666, spool: 0.03, diameter: 36.20, speed: 76.72, motorV: 26.70, extfrq: 20.66, target: 44.90, greedy_m: 26.70, greedy_e: 20.66, reward: 0.140, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51667, spool: 0.05, diameter: 34.40, speed: 65.44, motorV: 29.82, extfrq: 22.92, target: 44.90, greedy_m: 29.82, greedy_e: 22.92, reward: -0.040, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51668, spool: 0.06, diameter: 35.30, speed: 56.16, motorV: 34.00, extfrq: 26.21, target: 44.90, greedy_m: 34.00, greedy_e: 26.21, reward: 0.051, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.174
exploit, step:  51669, spool: 0.08, diameter: 35.50, speed: 49.52, motorV: 38.97, extfrq: 30.39, target: 44.90, greedy_m: 38.97, greedy_e: 30.39, reward: 0.073, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51670, spool: 0.10, diameter: 35.00, speed: 45.52, motorV: 44.43, extfrq: 35.20, target: 44.90, greedy_m: 44.43, greedy_e: 35.20, reward: 0.025, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51671, spool: 0.12, diameter: 36.10, speed: 45.52, motorV: 50.07, extfrq: 40.34, target: 44.90, greedy_m: 50.07, greedy_e: 40.34, reward: 0.138, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51672, spool: 0.14, diameter: 35.30, speed: 47.44, motorV: 55.58, extfrq: 45.58, target: 44.90, greedy_m: 55.58, greedy_e: 45.58, reward: 0.060, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51673, spool: 0.17, diameter: 35.90, speed: 50.72, motorV: 60.73, extfrq: 50.85, target: 44.90, greedy_m: 60.73, greedy_e: 50.85, reward: 0.123, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.208
exploit, step:  51674, spool: 0.20, diameter: 37.60, speed: 54.56, motorV: 65.39, extfrq: 56.19, target: 44.90, greedy_m: 65.39, greedy_e: 56.19, reward: 0.295, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
