expected step
exploit, step:  51688, spool: 0.75, diameter: 35.40, speed: 75.52, motorV: 72.69, extfrq: 93.64, target: 49.20, greedy_m: 72.69, greedy_e: 93.64, reward: -0.333, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51689, spool: 0.80, diameter: 34.50, speed: 74.16, motorV: 71.67, extfrq: 92.22, target: 49.20, greedy_m: 71.67, greedy_e: 92.22, reward: -0.423, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51690, spool: 0.84, diameter: 34.90, speed: 72.72, motorV: 70.66, extfrq: 90.12, target: 49.20, greedy_m: 70.66, greedy_e: 90.12, reward: -0.384, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51691, spool: 0.88, diameter: 35.20, speed: 71.84, motorV: 69.81, extfrq: 86.52, target: 49.20, greedy_m: 69.81, greedy_e: 86.52, reward: -0.355, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51692, spool: 0.92, diameter: 34.40, speed: 71.04, motorV: 69.11, extfrq: 82.43, target: 49.20, greedy_m: 69.11, greedy_e: 82.43, reward: -0.437, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51693, spool: 0.96, diameter: 35.60, speed: 69.92, motorV: 68.85, extfrq: 79.17, target: 49.20, greedy_m: 68.85, greedy_e: 79.17, reward: -0.319, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.174
exploit, step:  51694, spool: 1.00, diameter: 34.70, speed: 68.80, motorV: 68.98, extfrq: 76.70, target: 49.20, greedy_m: 68.98, greedy_e: 76.70, reward: -0.410, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51695, spool: 1.04, diameter: 33.10, speed: 68.24, motorV: 69.35, extfrq: 74.82, target: 49.20, greedy_m: 69.35, greedy_e: 74.82, reward: -0.572, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.174
exploit, step:  51696, spool: 1.07, diameter: 34.40, speed: 67.68, motorV: 69.82, extfrq: 73.34, target: 49.20, greedy_m: 69.82, greedy_e: 73.34, reward: -0.443, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51697, spool: 1.11, diameter: 33.40, speed: 67.52, motorV: 70.33, extfrq: 72.13, target: 49.20, greedy_m: 70.33, greedy_e: 72.13, reward: -0.543, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.208
exploit, step:  51698, spool: 1.15, diameter: 34.10, speed: 67.44, motorV: 70.86, extfrq: 71.06, target: 49.20, greedy_m: 70.86, greedy_e: 71.06, reward: -0.474, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51699, spool: 1.18, diameter: 36.50, speed: 68.16, motorV: 71.29, extfrq: 70.11, target: 49.20, greedy_m: 71.29, greedy_e: 70.11, reward: -0.234, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51700, spool: 1.22, diameter: 39.00, speed: 68.64, motorV: 71.58, extfrq: 69.29, target: 49.20, greedy_m: 71.58, greedy_e: 69.29, reward: 0.015, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51701, spool: 1.25, diameter: 40.20, speed: 69.12, motorV: 71.73, extfrq: 68.65, target: 49.20, greedy_m: 71.73, greedy_e: 68.65, reward: 0.135, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51702, spool: 1.28, diameter: 39.90, speed: 69.20, motorV: 71.77, extfrq: 68.25, target: 49.20, greedy_m: 71.77, greedy_e: 68.25, reward: 0.104, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51703, spool: 1.32, diameter: 40.20, speed: 69.68, motorV: 71.71, extfrq: 68.16, target: 49.20, greedy_m: 71.71, greedy_e: 68.16, reward: 0.134, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.174
exploit, step:  51704, spool: 1.35, diameter: 41.70, speed: 70.00, motorV: 71.48, extfrq: 68.52, target: 49.20, greedy_m: 71.48, greedy_e: 68.52, reward: 0.284, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51705, spool: 1.39, diameter: 44.00, speed: 70.00, motorV: 71.08, extfrq: 69.33, target: 49.20, greedy_m: 71.08, greedy_e: 69.33, reward: 0.514, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51706, spool: 1.42, diameter: 46.40, speed: 69.92, motorV: 70.64, extfrq: 70.40, target: 49.20, greedy_m: 70.64, greedy_e: 70.40, reward: 0.755, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.208
exploit, step:  51707, spool: 1.45, diameter: 47.40, speed: 70.00, motorV: 70.34, extfrq: 71.46, target: 49.20, greedy_m: 70.34, greedy_e: 71.46, reward: 0.855, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51708, spool: 1.49, diameter: 49.00, speed: 69.92, motorV: 69.93, extfrq: 72.39, target: 49.20, greedy_m: 69.93, greedy_e: 72.39, reward: 1.016, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51709, spool: 1.53, diameter: 49.60, speed: 69.28, motorV: 68.56, extfrq: 73.16, target: 49.20, greedy_m: 68.56, greedy_e: 73.16, reward: 0.996, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51710, spool: 1.56, diameter: 49.50, speed: 68.72, motorV: 68.89, extfrq: 73.81, target: 49.20, greedy_m: 68.89, greedy_e: 73.81, reward: 1.007, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51711, spool: 1.60, diameter: 48.40, speed: 68.32, motorV: 72.66, extfrq: 73.99, target: 49.20, greedy_m: 72.66, greedy_e: 73.99, reward: 0.957, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51712, spool: 1.63, diameter: 50.00, speed: 67.76, motorV: 76.59, extfrq: 74.04, target: 49.20, greedy_m: 76.59, greedy_e: 74.04, reward: 0.957, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:  51713, spool: 1.67, diameter: 50.80, speed: 68.08, motorV: 75.95, extfrq: 75.06, target: 49.20, greedy_m: 75.95, greedy_e: 75.06, reward: 0.877, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
