expected step
explore, step:  41160, spool: 0.72, diameter: 36.10, speed: 79.68, motorV: 74.35, extfrq: 88.62, target: 41.90, greedy_m: 73.86, greedy_e: 88.10, reward: 0.465, Q_exam: 57.070, am_exam: 79.076, a_exam: 66.915,  8, temp: 79.761
explore, step:  41161, spool: 0.76, diameter: 35.50, speed: 77.36, motorV: 72.25, extfrq: 87.19, target: 50.30, greedy_m: 71.88, greedy_e: 86.98, reward: -0.436, Q_exam: 62.582, am_exam: 19.377, a_exam: 70.111,  0, temp: 79.692
explore, step:  41162, spool: 0.80, diameter: 34.50, speed: 74.80, motorV: 70.81, extfrq: 85.31, target: 50.30, greedy_m: 70.19, greedy_e: 85.30, reward: -0.536, Q_exam: 60.772, am_exam: 68.013, a_exam: 31.037,  2, temp: 79.727
explore, step:  41163, spool: 0.84, diameter: 35.50, speed: 72.80, motorV: 69.48, extfrq: 82.83, target: 50.30, greedy_m: 69.01, greedy_e: 83.25, reward: -0.437, Q_exam: 59.727, am_exam: 35.281, a_exam: 58.723,  4, temp: 79.589
explore, step:  41164, spool: 0.88, diameter: 36.00, speed: 70.80, motorV: 68.73, extfrq: 80.66, target: 50.30, greedy_m: 68.31, greedy_e: 81.28, reward: -0.389, Q_exam: 63.254, am_exam: 74.619, a_exam: 38.690,  5, temp: 79.796
explore, step:  41165, spool: 0.92, diameter: 35.00, speed: 68.56, motorV: 68.31, extfrq: 79.29, target: 50.30, greedy_m: 67.90, greedy_e: 79.83, reward: -0.490, Q_exam: 62.553, am_exam: 77.773, a_exam: 53.908,  7, temp: 79.830
explore, step:  41166, spool: 0.96, diameter: 35.30, speed: 67.12, motorV: 68.13, extfrq: 77.43, target: 50.30, greedy_m: 67.67, greedy_e: 78.41, reward: -0.460, Q_exam: 36.020, am_exam: 34.961, a_exam: 63.849,  9, temp: 79.864
explore, step:  41167, spool: 1.00, diameter: 35.70, speed: 66.72, motorV: 67.61, extfrq: 75.62, target: 50.30, greedy_m: 67.37, greedy_e: 77.02, reward: -0.421, Q_exam: 61.785, am_exam: 19.614, a_exam: 70.614,  1, temp: 79.589
explore, step:  41168, spool: 1.03, diameter: 36.30, speed: 66.24, motorV: 67.65, extfrq: 74.13, target: 50.30, greedy_m: 67.32, greedy_e: 75.53, reward: -0.362, Q_exam: 61.011, am_exam: 68.233, a_exam: 31.705,  2, temp: 79.830
explore, step:  41169, spool: 1.07, diameter: 37.10, speed: 65.28, motorV: 67.93, extfrq: 72.58, target: 50.30, greedy_m: 67.40, greedy_e: 73.99, reward: -0.283, Q_exam: 60.025, am_exam: 34.733, a_exam: 57.451,  4, temp: 79.830
