expected step
exploit, step:  51688, spool: 0.66, diameter: 34.20, speed: 101.20, motorV: 100.00, extfrq: 71.43, target: 33.10, greedy_m: 102.64, greedy_e: 71.43, reward: 0.927, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51689, spool: 0.70, diameter: 31.60, speed: 101.12, motorV: 100.00, extfrq: 68.79, target: 33.10, greedy_m: 102.49, greedy_e: 68.79, reward: 0.886, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51690, spool: 0.73, diameter: 30.30, speed: 101.20, motorV: 100.00, extfrq: 66.25, target: 33.10, greedy_m: 102.11, greedy_e: 66.25, reward: 0.754, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51691, spool: 0.77, diameter: 33.40, speed: 101.20, motorV: 100.00, extfrq: 64.46, target: 33.10, greedy_m: 102.11, greedy_e: 64.46, reward: 1.003, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51692, spool: 0.80, diameter: 33.80, speed: 101.12, motorV: 100.00, extfrq: 63.94, target: 33.10, greedy_m: 102.86, greedy_e: 63.94, reward: 0.962, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.174
exploit, step:  51693, spool: 0.83, diameter: 34.00, speed: 101.28, motorV: 100.00, extfrq: 63.14, target: 33.10, greedy_m: 102.31, greedy_e: 63.14, reward: 0.942, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51694, spool: 0.86, diameter: 34.10, speed: 101.20, motorV: 100.00, extfrq: 62.27, target: 33.10, greedy_m: 101.61, greedy_e: 62.27, reward: 0.932, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.277
exploit, step:  51695, spool: 0.89, diameter: 35.20, speed: 101.20, motorV: 100.00, extfrq: 61.19, target: 33.10, greedy_m: 100.96, greedy_e: 61.19, reward: 0.821, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51696, spool: 0.92, diameter: 35.50, speed: 101.28, motorV: 100.00, extfrq: 59.89, target: 33.10, greedy_m: 100.46, greedy_e: 59.89, reward: 0.791, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51697, spool: 0.96, diameter: 35.10, speed: 101.12, motorV: 100.00, extfrq: 58.52, target: 33.10, greedy_m: 100.13, greedy_e: 58.52, reward: 0.830, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
