expected step
exploit, step:     25, spool: 0.85, diameter: 30.40, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.92, greedy_e: -1.20, reward: -0.414, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     26, spool: 0.88, diameter: 28.60, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.97, greedy_e: -1.13, reward: -0.594, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     27, spool: 0.92, diameter: 28.90, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 1.01, greedy_e: -1.04, reward: -0.564, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     28, spool: 0.96, diameter: 29.50, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 1.02, greedy_e: -0.96, reward: -0.504, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:     29, spool: 0.99, diameter: 28.30, speed: 100.32, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 1.03, greedy_e: -0.87, reward: -0.624, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     30, spool: 1.03, diameter: 28.30, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 1.06, greedy_e: -0.80, reward: -0.624, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     31, spool: 1.06, diameter: 28.30, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 1.07, greedy_e: -0.76, reward: -0.624, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:     32, spool: 1.10, diameter: 28.10, speed: 100.32, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 1.06, greedy_e: -0.73, reward: -0.644, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     33, spool: 1.13, diameter: 31.10, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 1.04, greedy_e: -0.71, reward: -0.344, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:     34, spool: 1.17, diameter: 28.50, speed: 100.40, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 1.03, greedy_e: -0.70, reward: -0.604, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     35, spool: 1.20, diameter: 30.20, speed: 100.32, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 1.01, greedy_e: -0.68, reward: -0.434, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
